schema,signature,role,allowed
dv_v16_private,dv_v16_private.week_start_at(timestamp with time zone),anon,False
dv_v16_private,dv_v16_private.week_start_at(timestamp with time zone),authenticated,False
dv_v16_private,dv_v16_private.week_start_at(timestamp with time zone),service_role,False
dv_v16_private,dv_v16_private.scan_budget_for_caller(),anon,False
dv_v16_private,dv_v16_private.scan_budget_for_caller(),authenticated,True
dv_v16_private,dv_v16_private.scan_budget_for_caller(),service_role,False
dv_v16_private,"dv_v16_private.reserve_for_caller(uuid,text,text,text)",anon,False
dv_v16_private,"dv_v16_private.reserve_for_caller(uuid,text,text,text)",authenticated,True
dv_v16_private,"dv_v16_private.reserve_for_caller(uuid,text,text,text)",service_role,False
dv_v16_private,dv_v16_private.is_owner_caller(),anon,False
dv_v16_private,dv_v16_private.is_owner_caller(),authenticated,True
dv_v16_private,dv_v16_private.is_owner_caller(),service_role,False
dv_v16_private,dv_v16_private.require_openai_server(),anon,False
dv_v16_private,dv_v16_private.require_openai_server(),authenticated,False
dv_v16_private,dv_v16_private.require_openai_server(),service_role,False
dv_v16_private,dv_v16_private.openai_scan_budget_for_caller(),anon,False
dv_v16_private,dv_v16_private.openai_scan_budget_for_caller(),authenticated,True
dv_v16_private,dv_v16_private.openai_scan_budget_for_caller(),service_role,False
dv_v16_private,"dv_v16_private.reserve_openai_for_caller(uuid,text,text,text)",anon,False
dv_v16_private,"dv_v16_private.reserve_openai_for_caller(uuid,text,text,text)",authenticated,True
dv_v16_private,"dv_v16_private.reserve_openai_for_caller(uuid,text,text,text)",service_role,False
dv_v16_private,"dv_v16_private.settle_openai_for_caller(uuid,integer,integer,bigint,bigint)",anon,False
dv_v16_private,"dv_v16_private.settle_openai_for_caller(uuid,integer,integer,bigint,bigint)",authenticated,True
dv_v16_private,"dv_v16_private.settle_openai_for_caller(uuid,integer,integer,bigint,bigint)",service_role,False
dv_v16_private,dv_v16_private.owner_openai_scan_settings_for_caller(),anon,False
dv_v16_private,dv_v16_private.owner_openai_scan_settings_for_caller(),authenticated,True
dv_v16_private,dv_v16_private.owner_openai_scan_settings_for_caller(),service_role,False
dv_v16_private,"dv_v16_private.update_openai_scan_policy_for_caller(boolean,integer,integer,integer)",anon,False
dv_v16_private,"dv_v16_private.update_openai_scan_policy_for_caller(boolean,integer,integer,integer)",authenticated,True
dv_v16_private,"dv_v16_private.update_openai_scan_policy_for_caller(boolean,integer,integer,integer)",service_role,False
public,touch_collection_item_updated_at(),anon,False
public,touch_collection_item_updated_at(),authenticated,False
public,touch_collection_item_updated_at(),service_role,False
public,"set_my_collection_folder_visibility(uuid,boolean)",anon,False
public,"set_my_collection_folder_visibility(uuid,boolean)",authenticated,True
public,"set_my_collection_folder_visibility(uuid,boolean)",service_role,True
public,guard_profile_username_direct_update(),anon,False
public,guard_profile_username_direct_update(),authenticated,False
public,guard_profile_username_direct_update(),service_role,False
public,clear_collection_binder_position_on_folder_change(),anon,False
public,clear_collection_binder_position_on_folder_change(),authenticated,False
public,clear_collection_binder_position_on_folder_change(),service_role,False
public,delete_my_default_shipping_address(),anon,False
public,delete_my_default_shipping_address(),authenticated,True
public,delete_my_default_shipping_address(),service_role,True
public,is_duelvanta_admin(uuid),anon,False
public,is_duelvanta_admin(uuid),authenticated,True
public,is_duelvanta_admin(uuid),service_role,True
public,get_my_battle_ratings(),anon,False
public,get_my_battle_ratings(),authenticated,True
public,get_my_battle_ratings(),service_role,True
public,get_public_battle_ratings(text),anon,True
public,get_public_battle_ratings(text),authenticated,True
public,get_public_battle_ratings(text),service_role,True
public,touch_profile_updated_at(),anon,False
public,touch_profile_updated_at(),authenticated,False
public,touch_profile_updated_at(),service_role,False
public,handle_duelvanta_new_user(),anon,False
public,handle_duelvanta_new_user(),authenticated,False
public,handle_duelvanta_new_user(),service_role,False
public,assign_founder_generation_i(),anon,False
public,assign_founder_generation_i(),authenticated,False
public,assign_founder_generation_i(),service_role,False
public,activate_my_beta_account(),anon,False
public,activate_my_beta_account(),authenticated,True
public,activate_my_beta_account(),service_role,True
public,complete_market_deal(uuid),anon,False
public,complete_market_deal(uuid),authenticated,True
public,complete_market_deal(uuid),service_role,True
public,set_my_locale(text),anon,False
public,set_my_locale(text),authenticated,True
public,set_my_locale(text),service_role,True
public,get_public_duelvanta_collection(text),anon,True
public,get_public_duelvanta_collection(text),authenticated,True
public,get_public_duelvanta_collection(text),service_role,True
public,get_public_battle_stats(text),anon,True
public,get_public_battle_stats(text),authenticated,True
public,get_public_battle_stats(text),service_role,True
public,"accept_battle_safety_gate(text,text)",anon,False
public,"accept_battle_safety_gate(text,text)",authenticated,True
public,"accept_battle_safety_gate(text,text)",service_role,True
public,clear_my_battle_signals(uuid),anon,False
public,clear_my_battle_signals(uuid),authenticated,True
public,clear_my_battle_signals(uuid),service_role,True
public,join_battle_as_moderator(uuid),anon,False
public,join_battle_as_moderator(uuid),authenticated,True
public,join_battle_as_moderator(uuid),service_role,False
public,dv_v16_scan_budget(),anon,False
public,dv_v16_scan_budget(),authenticated,True
public,dv_v16_scan_budget(),service_role,True
public,is_duelvanta_owner(uuid),anon,False
public,is_duelvanta_owner(uuid),authenticated,True
public,is_duelvanta_owner(uuid),service_role,True
public,protect_duelvanta_owner_profile(),anon,False
public,protect_duelvanta_owner_profile(),authenticated,False
public,protect_duelvanta_owner_profile(),service_role,False
public,prevent_duelvanta_owner_delete(),anon,False
public,prevent_duelvanta_owner_delete(),authenticated,False
public,prevent_duelvanta_owner_delete(),service_role,False
public,"has_staff_permission(text,uuid)",anon,False
public,"has_staff_permission(text,uuid)",authenticated,True
public,"has_staff_permission(text,uuid)",service_role,True
public,"review_battle_report(uuid,text,text)",anon,False
public,"review_battle_report(uuid,text,text)",authenticated,True
public,"review_battle_report(uuid,text,text)",service_role,False
public,is_username_available(text),anon,True
public,is_username_available(text),authenticated,True
public,is_username_available(text),service_role,True
public,mark_all_market_notifications_read(),anon,False
public,mark_all_market_notifications_read(),authenticated,True
public,mark_all_market_notifications_read(),service_role,True
public,get_my_battle_history(integer),anon,False
public,get_my_battle_history(integer),authenticated,True
public,get_my_battle_history(integer),service_role,True
public,"edit_my_sealed_market_listing_v2(uuid,text,text,text,text,text,text,integer,integer,jsonb,text,integer,integer,integer,integer,integer,text,numeric,text,text,numeric,text)",anon,False
public,"edit_my_sealed_market_listing_v2(uuid,text,text,text,text,text,text,integer,integer,jsonb,text,integer,integer,integer,integer,integer,text,numeric,text,text,numeric,text)",authenticated,True
public,"edit_my_sealed_market_listing_v2(uuid,text,text,text,text,text,text,integer,integer,jsonb,text,integer,integer,integer,integer,integer,text,numeric,text,text,numeric,text)",service_role,True
public,mark_market_notification_read(uuid),anon,False
public,mark_market_notification_read(uuid),authenticated,True
public,mark_market_notification_read(uuid),service_role,True
public,get_public_duelvanta_profile(text),anon,True
public,get_public_duelvanta_profile(text),authenticated,True
public,get_public_duelvanta_profile(text),service_role,True
public,get_public_duelvanta_identity(uuid),anon,True
public,get_public_duelvanta_identity(uuid),authenticated,True
public,get_public_duelvanta_identity(uuid),service_role,True
public,"get_public_market_reviews(uuid,integer)",anon,True
public,"get_public_market_reviews(uuid,integer)",authenticated,True
public,"get_public_market_reviews(uuid,integer)",service_role,True
public,can_update_own_profile_safe(profiles),anon,False
public,can_update_own_profile_safe(profiles),authenticated,True
public,can_update_own_profile_safe(profiles),service_role,True
public,"get_public_battle_recent(text,integer)",anon,True
public,"get_public_battle_recent(text,integer)",authenticated,True
public,"get_public_battle_recent(text,integer)",service_role,True
public,"create_battle_match_v2(text,text,text,text,text)",anon,False
public,"create_battle_match_v2(text,text,text,text,text)",authenticated,True
public,"create_battle_match_v2(text,text,text,text,text)",service_role,True
public,process_ranked_battle_rating(),anon,False
public,process_ranked_battle_rating(),authenticated,False
public,process_ranked_battle_rating(),service_role,False
public,"get_battle_leaderboard(text,integer)",anon,True
public,"get_battle_leaderboard(text,integer)",authenticated,True
public,"get_battle_leaderboard(text,integer)",service_role,True
public,get_public_battle_ranked_profile(text),anon,True
public,get_public_battle_ranked_profile(text),authenticated,True
public,get_public_battle_ranked_profile(text),service_role,True
public,begin_market_deal(uuid),anon,False
public,begin_market_deal(uuid),authenticated,True
public,begin_market_deal(uuid),service_role,True
public,get_market_listing_images(uuid),anon,False
public,get_market_listing_images(uuid),authenticated,True
public,get_market_listing_images(uuid),service_role,True
public,get_market_seller_profile(uuid),anon,True
public,get_market_seller_profile(uuid),authenticated,True
public,get_market_seller_profile(uuid),service_role,True
public,"cancel_market_deal(uuid,text)",anon,False
public,"cancel_market_deal(uuid,text)",authenticated,True
public,"cancel_market_deal(uuid,text)",service_role,True
public,"create_market_offer_v2(uuid,integer,numeric,text)",anon,False
public,"create_market_offer_v2(uuid,integer,numeric,text)",authenticated,False
public,"create_market_offer_v2(uuid,integer,numeric,text)",service_role,True
public,"edit_my_sealed_market_listing_v3(uuid,text,text,text,text,text,text,integer,integer,jsonb,text,integer,integer,integer,integer,integer,text,text,numeric,text,text,numeric,text)",anon,False
public,"edit_my_sealed_market_listing_v3(uuid,text,text,text,text,text,text,integer,integer,jsonb,text,integer,integer,integer,integer,integer,text,text,numeric,text,text,numeric,text)",authenticated,True
public,"edit_my_sealed_market_listing_v3(uuid,text,text,text,text,text,text,integer,integer,jsonb,text,integer,integer,integer,integer,integer,text,text,numeric,text,text,numeric,text)",service_role,True
public,normalize_market_listing_product_kind(),anon,False
public,normalize_market_listing_product_kind(),authenticated,False
public,normalize_market_listing_product_kind(),service_role,False
public,get_market_deal_shipping_address(uuid),anon,False
public,get_market_deal_shipping_address(uuid),authenticated,True
public,get_market_deal_shipping_address(uuid),service_role,True
public,get_my_market_shipping_status(),anon,False
public,get_my_market_shipping_status(),authenticated,True
public,get_my_market_shipping_status(),service_role,True
public,"upsert_my_market_shipping_address(uuid,text,text,text,text,text,text)",anon,False
public,"upsert_my_market_shipping_address(uuid,text,text,text,text,text,text)",authenticated,True
public,"upsert_my_market_shipping_address(uuid,text,text,text,text,text,text)",service_role,True
public,"edit_my_market_listing_v2(uuid,text,numeric,text,text,numeric,text)",anon,False
public,"edit_my_market_listing_v2(uuid,text,numeric,text,text,numeric,text)",authenticated,True
public,"edit_my_market_listing_v2(uuid,text,numeric,text,text,numeric,text)",service_role,True
public,"mark_market_deal_shipped(uuid,text,text)",anon,False
public,"mark_market_deal_shipped(uuid,text,text)",authenticated,True
public,"mark_market_deal_shipped(uuid,text,text)",service_role,True
public,"create_sealed_market_listing_draft(text,text,text,text,text,text,integer,text,integer,integer,integer,integer,integer,text,numeric,text,text,numeric,text)",anon,False
public,"create_sealed_market_listing_draft(text,text,text,text,text,text,integer,text,integer,integer,integer,integer,integer,text,numeric,text,text,numeric,text)",authenticated,True
public,"create_sealed_market_listing_draft(text,text,text,text,text,text,integer,text,integer,integer,integer,integer,integer,text,numeric,text,text,numeric,text)",service_role,True
